Dimension;sub_dimension;Indicator;Year;People
Sociodemographic;Demographic;Population_aged_20_and_over;2008;3094000
Sociodemographic;Demographic;Population_aged_20_and_over;2009;3164000
Sociodemographic;Demographic;Population_aged_20_and_over;2010;324000
Sociodemographic;Demographic;Population_aged_20_and_over;2011;3322000
Sociodemographic;Demographic;Population_aged_20_and_over;2012;3407000
Sociodemographic;Demographic;Population_aged_20_and_over;2013;3493000
Sociodemographic;Demographic;Population_aged_20_and_over;2014;3579000
Sociodemographic;Demographic;Population_aged_20_and_over;2015;3666000
Sociodemographic;Demographic;Population_aged_20_and_over;2016;3752000
Sociodemographic;Demographic;Population_aged_20_and_over;2017;3837000
Sociodemographic;Demographic;Population_aged_20_and_over;2018;3921000
Sociodemographic;Demographic;Population_aged_20_and_over;2019;4003000
Sociodemographic;Demographic;Population_aged_20_and_over;2020;4084000
Sociodemographic;Demographic;Population_aged_20_and_over;2021;4159000
Sociodemographic;Demographic;Population_aged_20_and_over;2022;4225000
