Data;Cambio
01/11/2023;5,0188
31/10/2023;5,0569
30/10/2023;5,0068
27/10/2023;4,9474
26/10/2023;5,0049
25/10/2023;4,9975
24/10/2023;5,0059
23/10/2023;5,0158
20/10/2023;5,0522
19/10/2023;5,0534
18/10/2023;5,0562
17/10/2023;5,0378
16/10/2023;5,0612
13/10/2023;5,0619
11/10/2023;5,0490
10/10/2023;5,0856
09/10/2023;5,1660
06/10/2023;5,1912
05/10/2023;5,1707
04/10/2023;5,1520
03/10/2023;5,1094
02/10/2023;5,0673
29/09/2023;5,0070
28/09/2023;5,0469
27/09/2023;5,0283
26/09/2023;4,9711
25/09/2023;4,9600
22/09/2023;4,9125
21/09/2023;4,9223
20/09/2023;4,8481
19/09/2023;4,8569
18/09/2023;4,8529
15/09/2023;4,8683
14/09/2023;4,8745
13/09/2023;4,9165
12/09/2023;4,9499
11/09/2023;4,9360
08/09/2023;4,9829
06/09/2023;4,9756
05/09/2023;4,9699
04/09/2023;4,9170
01/09/2023;4,9312
31/08/2023;4,9213
30/08/2023;4,8647
29/08/2023;4,8700
28/08/2023;4,8933
25/08/2023;4,8766
24/08/2023;4,8742
23/08/2023;4,8971
22/08/2023;4,9425
21/08/2023;4,9841
18/08/2023;4,9718
17/08/2023;4,9810
16/08/2023;4,9765
15/08/2023;4,9806
14/08/2023;4,9475
11/08/2023;4,8912
10/08/2023;4,8512
09/08/2023;4,9009
08/08/2023;4,9211
07/08/2023;4,9004
04/08/2023;4,8603
03/08/2023;4,8791
02/08/2023;4,8077
01/08/2023;4,7746
31/07/2023;4,7409
28/07/2023;4,7247
27/07/2023;4,7196
26/07/2023;4,7362
25/07/2023;4,7490
24/07/2023;4,7451
21/07/2023;4,7726
20/07/2023;4,7882
19/07/2023;4,7994
18/07/2023;4,8034
17/07/2023;4,8296
14/07/2023;4,7951
13/07/2023;4,8032
12/07/2023;4,8052
11/07/2023;4,8943
10/07/2023;4,8729
07/07/2023;4,8793
06/07/2023;4,8971
05/07/2023;4,8571
04/07/2023;4,8050
03/07/2023;4,7870
30/06/2023;4,8186
29/06/2023;4,8578
28/06/2023;4,8557
27/06/2023;4,7897
26/06/2023;4,7692
23/06/2023;4,7793
22/06/2023;4,7744
21/06/2023;4,7789
20/06/2023;4,7924
19/06/2023;4,7797
16/06/2023;4,8280
15/06/2023;4,8216
14/06/2023;4,8456
13/06/2023;4,8527
12/06/2023;4,8826
09/06/2023;4,8916
07/06/2023;4,9113
06/06/2023;4,9286
05/06/2023;4,9230
02/06/2023;4,9552
01/06/2023;5,0344
31/05/2023;5,0953
30/05/2023;5,0587
29/05/2023;4,9948
26/05/2023;5,0108
25/05/2023;4,9984
24/05/2023;4,9468
