ESTADOS;ANO_2018;ANO_2019;ANO_2020;ANO_2021
Acre;0;0;0;0
Alagoas;0;0;0;0
Amapá;0;0;0;0
Amazonas;0;0;0;0
Bahia;75378;74142;45342;61274
Ceará;422;564;763;521
Distrito Federal;1425;1235;1267;1309
Espírito Santo;3090;3207;3370;3040
Goiás;2121;1656;1411;1496
Maranhão;0;0;0;0
Mato Grosso;1297;1304;1287;1290
Mato Grosso do Sul;72;72;59;57
Minas Gerais;15763;17307;18723;19571
Pará;0;0;0;0
Paraíba;2600;2600;2600;2600
Paraná;54000;48000;57556;57000
Pernambuco;423382;420830;338837;390640
Piauí;51;24;120;96
Rio de Janeiro;170;206;191;86
Rio Grande do Norte;0;0;0;0
Rio Grande do Sul;822689;666423;735358;951567
Rondônia;187;219;197;124
Roraima;0;0;0;0
Santa Catarina;61256;59525;60388;59638
São Paulo;128327;148379;148919;147359
Sergipe;0;0;0;0
Tocantins;12;12;12;12
