Cidade,Data de Referência,Temperatura Mediana (°C)
Alegrete,2007-01-01,24.75
Alegrete,2007-02-01,24.05
Alegrete,2007-03-01,23.25
Alegrete,2007-04-01,21.35
Alegrete,2007-05-01,13.45
Alegrete,2007-06-01,12.75
Alegrete,2007-07-01,9.85
Alegrete,2007-08-01,12.1
Alegrete,2007-09-01,18.575000000000003
Alegrete,2007-10-01,20.025
Alegrete,2007-11-01,20.5
Alegrete,2007-12-01,23.8
Alegrete,2008-01-01,24.55
Alegrete,2008-02-01,23.55
Alegrete,2008-03-01,22.575000000000003
Alegrete,2008-04-01,18.425
Alegrete,2008-05-01,14.3
Alegrete,2008-06-01,12.95
Alegrete,2008-07-01,15.275
Alegrete,2008-08-01,14.375
Alegrete,2008-09-01,15.2
Alegrete,2008-10-01,19.4
Alegrete,2008-11-01,23.1
Alegrete,2008-12-01,24.2
Alegrete,2009-01-01,23.85
Alegrete,2009-02-01,24.175
Alegrete,2009-03-01,22.8
Alegrete,2009-04-01,19.15
Alegrete,2009-05-01,17.275
Alegrete,2009-06-01,11.3
Alegrete,2009-07-01,11.0
Alegrete,2009-08-01,14.8
Alegrete,2009-09-01,16.075000000000003
Alegrete,2009-10-01,18.5
Alegrete,2009-11-01,22.75
Alegrete,2009-12-01,24.3
Alegrete,2010-01-01,24.55
Alegrete,2010-02-01,24.6
Alegrete,2010-03-01,21.55
Alegrete,2010-04-01,15.75
Alegrete,2010-05-01,15.4
Alegrete,2010-06-01,14.55
Alegrete,2010-07-01,12.5
Alegrete,2010-08-01,14.325
Alegrete,2010-09-01,16.975
Alegrete,2010-10-01,18.200000000000003
Alegrete,2010-11-01,21.025
Alegrete,2010-12-01,24.15
Alegrete,2011-01-01,25.675
Alegrete,2011-02-01,23.75
Alegrete,2011-03-01,22.125
Alegrete,2011-04-01,19.55
Alegrete,2011-05-01,15.75
Alegrete,2011-06-01,13.3
Alegrete,2011-07-01,13.3
Alegrete,2011-08-01,13.975
Alegrete,2011-09-01,16.725
Alegrete,2011-10-01,18.65
Alegrete,2011-11-01,22.225
Alegrete,2011-12-01,22.55
Alegrete,2012-01-01,25.5
Alegrete,2012-02-01,25.8
Alegrete,2012-03-01,23.175
Alegrete,2012-04-01,18.7
Alegrete,2012-05-01,17.9
Alegrete,2012-06-01,13.35
Alegrete,2012-07-01,11.15
Alegrete,2012-08-01,18.7
Alegrete,2012-09-01,17.950000000000003
Alegrete,2012-10-01,20.85
Alegrete,2012-11-01,23.625
Alegrete,2012-12-01,23.675
Alegrete,2013-01-01,23.3
Alegrete,2013-02-01,23.45
Alegrete,2013-03-01,20.15
Alegrete,2013-04-01,19.4
Alegrete,2013-05-01,15.425
Alegrete,2013-06-01,13.25
Alegrete,2013-07-01,13.6
Alegrete,2013-08-01,11.2
Alegrete,2013-09-01,16.35
Alegrete,2013-10-01,19.4
Alegrete,2013-11-01,21.200000000000003
Alegrete,2013-12-01,27.200000000000003
Alegrete,2014-01-01,25.4
Alegrete,2014-02-01,24.6
Alegrete,2014-03-01,20.55
Alegrete,2014-04-01,19.775
Alegrete,2014-05-01,15.65
Alegrete,2014-06-01,14.2
Alegrete,2014-07-01,14.9
Alegrete,2014-08-01,15.5
Alegrete,2014-09-01,17.35
Alegrete,2014-10-01,20.5
Alegrete,2014-11-01,22.3
Alegrete,2014-12-01,22.5
Alegrete,2015-01-01,
Alegrete,2015-02-01,23.8
Alegrete,2015-03-01,22.75
Alegrete,2015-04-01,19.85
Alegrete,2015-05-01,17.299999999999997
Alegrete,2015-06-01,15.4
Alegrete,2015-07-01,14.1
Alegrete,2015-08-01,18.45
Alegrete,2015-09-01,16.75
Alegrete,2015-10-01,18.25
Alegrete,2015-11-01,20.55
Alegrete,2015-12-01,22.75
Alegrete,2016-01-01,25.25
Alegrete,2016-02-01,24.8
Alegrete,2016-03-01,20.7
Alegrete,2016-04-01,21.55
Alegrete,2016-05-01,14.175
Alegrete,2016-06-01,11.425
Alegrete,2016-07-01,13.0
Alegrete,2016-08-01,15.425
Alegrete,2016-09-01,14.5
Alegrete,2016-10-01,19.35
Alegrete,2016-11-01,21.1
Alegrete,2016-12-01,23.75
Alegrete,2017-01-01,25.4
Alegrete,2017-02-01,
Alegrete,2017-03-01,22.55
Alegrete,2017-04-01,19.225
Alegrete,2017-05-01,16.775
Alegrete,2017-06-01,14.45
Alegrete,2017-07-01,
Alegrete,2017-08-01,16.65
Alegrete,2017-09-01,18.8
Alegrete,2017-10-01,19.5
Alegrete,2017-11-01,20.275
Alegrete,2017-12-01,24.2
Alegrete,2018-01-01,24.075000000000003
Alegrete,2018-02-01,23.375
Alegrete,2018-03-01,21.8
Alegrete,2018-04-01,22.025
Alegrete,2018-05-01,18.05
Alegrete,2018-06-01,11.55
Alegrete,2018-07-01,12.025
Alegrete,2018-08-01,12.65
Alegrete,2018-09-01,18.55
Alegrete,2018-10-01,19.575000000000003
Alegrete,2018-11-01,22.425
Alegrete,2018-12-01,23.375
Alegrete,2019-01-01,24.5
Alegrete,2019-02-01,23.625
Alegrete,2019-03-01,21.575000000000003
Alegrete,2019-04-01,21.25
Alegrete,2019-05-01,17.85
Alegrete,2019-06-01,18.05
Alegrete,2019-07-01,13.25
Alegrete,2019-08-01,14.3
Alegrete,2019-09-01,15.675
Alegrete,2019-10-01,19.05
Alegrete,2019-11-01,21.95
Alegrete,2019-12-01,23.975
Alegrete,2020-01-01,24.75
Alegrete,2020-02-01,24.2
Alegrete,2020-03-01,23.8
Alegrete,2020-04-01,19.950000000000003
Alegrete,2020-05-01,15.7
Alegrete,2020-06-01,14.55
Alegrete,2020-07-01,11.6
Alegrete,2020-08-01,16.275
Alegrete,2020-09-01,16.1
Alegrete,2020-10-01,19.65
Alegrete,2020-11-01,22.25
Alegrete,2020-12-01,23.25
Alegrete,2021-01-01,23.9
Alegrete,2021-02-01,22.725
Alegrete,2021-03-01,21.7
Alegrete,2021-04-01,20.55
Alegrete,2021-05-01,13.95
Alegrete,2021-06-01,12.625
Alegrete,2021-07-01,12.8
Alegrete,2021-08-01,14.9
Alegrete,2021-09-01,17.049999999999997
Alegrete,2021-10-01,18.875
Alegrete,2021-11-01,21.9
Alegrete,2021-12-01,24.0
Alegrete,2022-01-01,27.15
Alegrete,2022-02-01,25.15
Alegrete,2022-03-01,21.2
Alegrete,2022-04-01,18.8
Alegrete,2022-05-01,14.6
Alegrete,2022-06-01,11.95
Alegrete,2022-07-01,
Alegrete,2022-08-01,14.95
Alegrete,2022-09-01,15.3
Alegrete,2022-10-01,17.95
Alegrete,2022-11-01,21.625
Alegrete,2022-12-01,25.225
Bagé,2007-01-01,22.55
Bagé,2007-02-01,23.15
Bagé,2007-03-01,21.65
Bagé,2007-04-01,19.75
Bagé,2007-05-01,12.0
Bagé,2007-06-01,11.4
Bagé,2007-07-01,8.95
Bagé,2007-08-01,10.0
Bagé,2007-09-01,17.174999999999997
Bagé,2007-10-01,18.2
Bagé,2007-11-01,18.6
Bagé,2007-12-01,21.9
Bagé,2008-01-01,22.375
Bagé,2008-02-01,21.65
Bagé,2008-03-01,20.700000000000003
Bagé,2008-04-01,17.1
Bagé,2008-05-01,14.35
Bagé,2008-06-01,11.5
Bagé,2008-07-01,14.1
Bagé,2008-08-01,12.45
Bagé,2008-09-01,12.775
Bagé,2008-10-01,17.525
Bagé,2008-11-01,20.75
Bagé,2008-12-01,21.1
Bagé,2009-01-01,21.4
Bagé,2009-02-01,22.05
Bagé,2009-03-01,21.15
Bagé,2009-04-01,17.75
Bagé,2009-05-01,16.1
Bagé,2009-06-01,10.6
Bagé,2009-07-01,10.1
Bagé,2009-08-01,13.375
Bagé,2009-09-01,14.275
Bagé,2009-10-01,16.05
Bagé,2009-11-01,20.925
Bagé,2009-12-01,21.625
Bagé,2010-01-01,23.025
Bagé,2010-02-01,23.6
Bagé,2010-03-01,21.4
Bagé,2010-04-01,17.95
Bagé,2010-05-01,15.15
Bagé,2010-06-01,13.1
Bagé,2010-07-01,11.65
Bagé,2010-08-01,12.375
Bagé,2010-09-01,15.55
Bagé,2010-10-01,15.75
Bagé,2010-11-01,18.1
Bagé,2010-12-01,22.775
Bagé,2011-01-01,24.475
Bagé,2011-02-01,22.625
Bagé,2011-03-01,20.6
Bagé,2011-04-01,18.05
Bagé,2011-05-01,14.175
Bagé,2011-06-01,11.9
Bagé,2011-07-01,11.75
Bagé,2011-08-01,13.175
Bagé,2011-09-01,14.4
Bagé,2011-10-01,16.9
Bagé,2011-11-01,20.075000000000003
Bagé,2011-12-01,20.3
Bagé,2012-01-01,23.15
Bagé,2012-02-01,23.85
Bagé,2012-03-01,21.25
Bagé,2012-04-01,16.9
Bagé,2012-05-01,16.6
Bagé,2012-06-01,12.0
Bagé,2012-07-01,9.3
Bagé,2012-08-01,17.75
Bagé,2012-09-01,15.975
Bagé,2012-10-01,18.425
Bagé,2012-11-01,20.75
Bagé,2012-12-01,23.5
Bagé,2013-01-01,21.3
Bagé,2013-02-01,22.1
Bagé,2013-03-01,19.15
Bagé,2013-04-01,18.35
Bagé,2013-05-01,14.25
Bagé,2013-06-01,12.175
Bagé,2013-07-01,12.125
Bagé,2013-08-01,9.875
Bagé,2013-09-01,14.8
